name,User,Text,parent,emotion,Is_Influencer
1,@lilyachty,I’ll drop da track list for 40k likes feelin clout thirsty,,#FFA500,1
2,@mlg_pacman,The track list on genuis,1,#FFA500,0
3,@joehammy,Imagine thinking genius tracklists or any info on genius is accurate,2,#8F56BF,0
4,@LIL_FLUX,Bro it depends who does it. If it’s a editor or mod/staff doing it you know it’s worthy if it’s a contributor then the info on @Genius may be a bit untrustworthy,3,defend rumor,0
5,@lilyachty,lol that's very inaccurate,2,#8F56BF,1
6,@MarquisJr9,Bro please stop folding and drop the list,5,#FF4500,0
7,@yungbibba,Man can't even spell genius,5,#8F56BF,0
8,@GrimesYachty,VERY MUCH SO 😹😹😹  THE ONE ON GENUIS IS LITERALLY JUST RANDOM NAMES THEY CREATED OFF SNIPPETS THAT ARE OUT BRO 😹😹😹,5,#E4FC74,0
9,@_wyvtt_,Yachty's Tracklist 1. Its Never Coming Out 2. I Ain't Dropping Shit 3. You Thought 4. Lol Sike 5. I Be Trolling 6. Dropping On The 35th Of Neveruary,5,#E4FC74,0
10,@KristinaBaby18,I just hope it’s called the W song that would make my day,5,#FFA500,0
11,@mlg_pacman,Omg yachty responded to me 😂🤙🏻,5,#E4FC74,0
12,@mlg_pacman,I haven’t stop smiling since yachty responded I’m freakin losing it 🤙🏻🤪,11,#9ACD32,0
13,@jalonzzzo,https://twitter.com/jalonzzzo/status/962238708761047040,5,#FFA500,0
14,@TheGerk2,Probably another weak cd,5,#8F56BF,0
15,@GapToothGinny,OOp,5,#8F56BF,0
16,@ImTheStew,Love you lil boat  keep being great 👍🏻,5,#9ACD32,0
17,@JimiC_137IsDead,well you owe us a tracklist,5,#FF4500,0
18,@goombaagram,Boat! Listen to this Pyeongchang shit!,5,#9ACD32,0
19,@oxcyland,It literally is there tho??,5,#FFA500,0
