name,User,Text,parent,emotion,Is_Influencer
1,@Emma Watson, Fake tattoo proofreading position available. Experience with apostrophes a must.,,#6ACFF8,1
2,@stringimiloueh,The boy I was dating didn't want to stay with me in front of his friends so yesterday I texted him "we're over" and his answer was "?". From that moment he is ignoring me at all. What should I do?,1,#4E5DAF,0
3,@QuietIntrovert, I'm not Emma but it sounds like you should send him a message explaining why you ended it. In any type of relationship romantic or not communication is key. Let him know how his actions made you feel. No guarantees but maybe he will talk to you after.,2,#9ACD32,0
4,@kiradot00,But it sounds like you ended it for good reason! Stay strong ❤,2,#9ACD32,0
5,@kiradot0,It probably means that you are over. Unless you didn't mean it?,2,#FFA500,0
6,@bheda_vijay, Live it GIF,2,#FFA500,0
7,@yaboisplatfest,Wait you just wanna be friends with the guy??,2,#FFA500,0
8,@its_mrV,well maybe don't end a relationship over a text next time?,2,#FFA500,0
9,@killer1211r,Tell him you cheated on him then tell him i won the lottery trust me  I don’t kno about rich people but a normal guy will come running back like a headless chicken,2,#9ACD32,0
10,@steve59284578,Find someone worth your time.,2,#9ACD32,0
11,@caroline_wilby,I wish all of my break ups were that easy!! Guys don't normally get the message that it's over!!,2,#6ACFF8,0
12,@Coops_Momma,Just let it go and find someone that wants to be seen with you.  Life is too short and everyone deserves to be loved and not ignored.,2,#9ACD32,0
13,@Allerdice_,Never talk to him again,2,#FFA500,0
14,@stringimiloueh,Already done weeks ago he said sorry but he continued,3,#4E5DAF,0
15,@QuietIntrovert,Then maybe he's not worth the time. We all deserve someone who will welcome us into their lives not push us aside when other people are there. I'm not saying he can't have time with his friends without you there but he shouldn't exclude you when you're around. Not worth it.,14,#9ACD32,0
16,@stringimiloueh,Thanks anyway for the advice 😘,3,#9ACD32,0
17,@mikiedavis35,Yeah who wants human contact anyways that’s so yeatur -year.,3,#9ACD32,0
18,@RstoomGoreg,Ok aym vare sure   jaeme,3,#9ACD32,0
19,@rahulbitu,He ignores you coz he can't afford you baby... Happy...,14,#9ACD32,0
20,@Pink_Fangirll,Simple screw him and look for a good guy.,14,#9ACD32,0
21,@stringimiloueh,He sure is not worth it,15,#9ACD32,0
22,@RstoomGoreg,SUre  aym vare sore ok,15,???,0
23,@QuietIntrovert,Maybe he's worth it for someone else but not you. So go about your life make yourself happy and keep looking for the person that /is/ worth it. That person is out there but the universe is saying "Not yet.",21,#9ACD32,0
24,@GrahamLower,Beans. Lots of them. Eat them. It will solve itself.,21,#9ACD32,0
25,@extra_jams,If i was you 1- block his number and delete if needed and avaible (my ex is a colleague so sometimes i still need his number) 2- if you have to talk to him in person do it in a public place. Make it clear. 3- live your life. Forgeting him is the best you could do,21,#9ACD32,0
26,@extra_jams,You kinda of described my ex. It was not that much tho but he'd always pick his friends over me. We stopped talking for a few weeks after breaking up but our relationship is very healthy now. Not saying were bff but it's healthy.,25,#9ACD32,0
27,@psylenfury,sorry to interru ladies but i just wanted to say that this conversation is so beautiful and wholesome oh my god okay that's it thank you for your attention,23,#E4FC74,0
28,@psylentfury,guys stop liking this tweet it has a typo,27,#FFA500,0
29,@QuietIntrovert,Just spreading some positivity in the world is all! Gotta have each other's backs. :),27,#E4FC74,0
30,@JonesMartyha,Lovely moment here on twitter ladies❤️,27,#E4FC74,0
31,@psylentfury,please stay like this you're amazing,29,#E4FC74,0
32,@amias,Wow that was really nice,29,#E4FC74,0
33,@hozrnbz22,☺️❤️👍🏻👍🏻,29,#E4FC74,0
34,@hazma_foy,You need more followers,29,#E4FC74,0
35,@tjosmothers,Love yourself fully except yourself as enough and believe that you are worthy! We as women are not taught to love ourselves in a healthy way! Without it we allow others to love us in an unhealthy way too! 💕,31,#9ACD32,0
36,@stringimiloueh,Sure💙,4,#E4FC74,0
37,@KirchStine,You should maybe consider taking a look at She Comes First - Reclaim Tour power - guide for sassy women who... By  Brian Nox. Have a great and strong life! Greetings from Denmark 🙂,36,#FFA500,0
38,@stringimiloueh,I probably wanted him to say something to make me change my mind instead of a simple "?" ahahh but he is obliviously not interested,5,#4E5DAF,0
39,@DexSytemCTL,Typical. “We’re over” really means “stay with me and work on our relationship.”,38,#FFA500,0
40,@Djamy2017,Yeah talk to the face it's genuinely sincere.,8,#9ACD32,0
41,@angelodou,Which is good. Problems are there to be solved. Ending the relationship without thinking about a solution (together) is just running away from your problems.I don't know your particular situation but in general I'd prefer someone who actually cares about a relationship.,11,#FFA500,0
42,@alcibiades_anon,But she ended it?  Isn't he doing the adult thing and respecting her wishes?  Or should relationships be games?,41,#FFA500,0
43,@meganflockhart,I would like to take you up on this job opportunity? I have a masters in proofreadery graduated with a 1st from Tattoo Uni top of my class,1,#FFA500,0
44,@Prvcedures,What movie is that from,43,#FFA500,0
45,@morganlade,Devil wears Prada,44,#FFA500,0
46,@VoliBolas,children of the con,44,#FFA500,0
47,@meganflockhart,(I don't mean this as you both seem totally lovely it just fits SO WELL)GIF,45,#E4FC74,0
48,@Prvcedures,what,47,#FFA500,0
49,@meganflockhart,That was another gif from the devil wears prada,48,#FFA500,0
50,@morganlade,GIF,49,#E4FC74,0
51,@ebfilmz1,go away idiot,49,#8F56BF,0
52,@meganflockhart,my god this film is a treasure,50,#E4FC74,0
53,@Twidmife,GIF,52,#E4FC74,0
54,@jcksn98,GIF,53,#E4FC74,0
55,@Twidmife,GIF,54,#E4FC74,0
